stop_id,stop_code,stop_name,lat,lon,Zip Codes
4465,4465,10935 Lakeline Mall/US 183,30.473343,-97.797676,78717
4466,4466,Lakeline Mall/Lake Creek,30.474983,-97.794127,78729
4470,4470,4702 Lamar/Dudmar,30.233588,-97.809163,78735
4471,4471,4970 US 290/Brodie,30.233713,-97.819058,78735
4473,4473,6900 Scenic Brook/SH 71,30.237011,-97.878699,78736
4474,4474,6905 Scenic Brook/SH 71,30.236888,-97.878511,78736
4481,4481,Scenic Brook/Hanbridge,30.237524,-97.893567,78736
4482,4482,Scenic Brook/Kirkham,30.237722,-97.892904,78736
4485,4485,Scenic Brook/Banpass,30.235646,-97.897868,78736
4486,4486,Oak Hill Park and Ride,30.234439,-97.862645,78735
4488,4488,Mopac/Wallingwood,30.265767,-97.781128,78746
4489,4489,1300 Spyglass/Wallingwood,30.261146,-97.786623,78746
4490,4490,1788 Spyglass/Barton Skyway,30.259147,-97.79103,78746
4491,4491,Mopac/Barton Skyway,30.262083,-97.78957,78746
4492,4492,1010 Walsh Tarlton/Bee Caves,30.2736,-97.80122,78746
4493,4493,1007 Walsh Tarlton/Bee Caves,30.273889,-97.800812,78746
4494,4494,2701 Walsh Tarlton/Capital of Texas,30.258478,-97.811286,78746
4497,4497,4219 Bull Creek/Jackson,30.316743,-97.754711,78731
4498,4498,4701 Bull Creek/Perry,30.323119,-97.75182,78731
4509,4509,820 Koenig/Lamar,30.326578,-97.726875,78752
4513,4513,Koenig/Guadalupe,30.323545,-97.723626,78752
4516,4516,4801 Guadalupe/46th,30.314726,-97.730353,78751
4518,4518,4903 Guadalupe/46th,30.316531,-97.72913,78751
4521,4521,4800 Sunshine (Criss Cole Rehab),30.317281,-97.735373,78756
4523,4523,Woodrow/Dartmouth,30.348038,-97.723558,78757
4524,4524,3607 Manor/Pershing,30.289421,-97.697681,78723
4528,4528,4316 Lamar/43rd,30.311348,-97.73919,78756
4529,4529,915 45th/Red River,30.304397,-97.718869,78751
4534,4534,961 Springdale/Govalle,30.264596,-97.696074,78721
4536,4536,Lamar/Meadowlark,30.35188,-97.70748,78753
4538,4538,8950 Lamar/Cooper,30.359248,-97.699316,78753
4539,4539,Rundberg/Lamar,30.362762,-97.69653,78753
4540,4540,Rundberg Station (SB),30.363669,-97.69684,78753
4541,4541,9717 Lamar/Rutland,30.366232,-97.695082,78753
4542,4542,9800 Lamar/Longspur,30.367568,-97.694603,78753
4543,4543,Masterson Station (NB),30.372083,-97.691817,78753
4545,4545,Lamar/Applegate,30.374486,-97.690432,78753
4548,4548,Chinatown Station (NB),30.379385,-97.687683,78753
4550,4550,Braker/Motheral,30.380984,-97.684984,78753
4551,4551,314 Braker/Hornsby,30.380223,-97.683325,78753
4553,4553,200 Braker/Oakwood,30.378569,-97.679983,78753
4554,4554,700 Braker/Pollyanna,30.377449,-97.677411,78753
4557,4557,Cameron/Cross Park,30.343606,-97.678835,78753
4568,4568,6205 Burnet/Romeria,30.33743,-97.73931,78757
